id,topic,weight
Grants623afb69b34a6bd48ae4bd2c,11, 0.14130096
Grants623afb69b34a6bd48ae4bd2c,13, 0.22110441
Grants623afb69b34a6bd48ae4bd2c,17, 0.2584338
Grants623afb69b34a6bd48ae4bd2c,19, 0.34018707
Grants623afb6bb34a6bd48ae4bd2d,7, 0.13028584
Grants623afb6bb34a6bd48ae4bd2d,11, 0.0852245
Grants623afb6bb34a6bd48ae4bd2d,14, 0.38333252
Grants623afb6bb34a6bd48ae4bd2d,19, 0.37191886
Grants623afb6eb34a6bd48ae4bd2e,2, 0.26190296
Grants623afb6eb34a6bd48ae4bd2e,11, 0.04999821
Grants623afb6eb34a6bd48ae4bd2e,14, 0.1778895
Grants623afb6eb34a6bd48ae4bd2e,19, 0.4692862
Grants623afb71b34a6bd48ae4bd2f,11, 0.072920196
Grants623afb71b34a6bd48ae4bd2f,14, 0.65361005
Grants623afb71b34a6bd48ae4bd2f,19, 0.246476
Grants623afb73b34a6bd48ae4bd30,5, 0.59486943
Grants623afb73b34a6bd48ae4bd30,11, 0.0844465
Grants623afb73b34a6bd48ae4bd30,19, 0.28612646
Grants623afb75b34a6bd48ae4bd31,11, 0.12349976
Grants623afb75b34a6bd48ae4bd31,14, 0.2222337
Grants623afb75b34a6bd48ae4bd31,19, 0.36127174
Grants623afb75b34a6bd48ae4bd31,21, 0.25579515
Grants623afb78b34a6bd48ae4bd32,11, 0.10335206
Grants623afb78b34a6bd48ae4bd32,14, 0.5244688
Grants623afb78b34a6bd48ae4bd32,19, 0.3361873
Grants623afb7bb34a6bd48ae4bd33,11, 0.13292694
Grants623afb7bb34a6bd48ae4bd33,14, 0.17178373
Grants623afb7bb34a6bd48ae4bd33,19, 0.37913388
Grants623afb7bb34a6bd48ae4bd33,21, 0.27718374
Grants623afb7eb34a6bd48ae4bd34,11, 0.15085232
Grants623afb7eb34a6bd48ae4bd34,14, 0.18968208
Grants623afb7eb34a6bd48ae4bd34,19, 0.27668387
Grants623afb7eb34a6bd48ae4bd34,20, 0.35130516
Grants623afb80b34a6bd48ae4bd35,8, 0.4755074
Grants623afb80b34a6bd48ae4bd35,9, 0.049406078
Grants623afb80b34a6bd48ae4bd35,11, 0.12260164
Grants623afb80b34a6bd48ae4bd35,19, 0.31837833
Grants623afb82b34a6bd48ae4bd36,7, 0.29609573
Grants623afb82b34a6bd48ae4bd36,9, 0.2100913
Grants623afb82b34a6bd48ae4bd36,10, 0.061764386
Grants623afb82b34a6bd48ae4bd36,19, 0.15576781
Grants623afb82b34a6bd48ae4bd36,20, 0.2559384
Grants623afb85b34a6bd48ae4bd37,11, 0.09069065
Grants623afb85b34a6bd48ae4bd37,14, 0.3778818
Grants623afb85b34a6bd48ae4bd37,17, 0.2302334
Grants623afb85b34a6bd48ae4bd37,19, 0.2708832
Grants623afb88b34a6bd48ae4bd38,11, 0.121896416
Grants623afb88b34a6bd48ae4bd38,14, 0.46419138
Grants623afb88b34a6bd48ae4bd38,19, 0.37277764
Grants623afb8bb34a6bd48ae4bd39,2, 0.5506011
Grants623afb8bb34a6bd48ae4bd39,9, 0.07186527
Grants623afb8bb34a6bd48ae4bd39,11, 0.15233578
Grants623afb8bb34a6bd48ae4bd39,19, 0.19962163
Grants623afb8eb34a6bd48ae4bd3a,11, 0.07925479
Grants623afb8eb34a6bd48ae4bd3a,14, 0.51259977
Grants623afb8eb34a6bd48ae4bd3a,19, 0.37492266
Grants623afb91b34a6bd48ae4bd3b,9, 0.6922646
Grants623afb91b34a6bd48ae4bd3b,19, 0.27932185
Grants623afb94b34a6bd48ae4bd3c,4, 0.092051245
Grants623afb94b34a6bd48ae4bd3c,9, 0.60122603
Grants623afb94b34a6bd48ae4bd3c,19, 0.27693617
Grants623afb96b34a6bd48ae4bd3d,2, 0.5008312
Grants623afb96b34a6bd48ae4bd3d,6, 0.11698208
Grants623afb96b34a6bd48ae4bd3d,11, 0.08812468
Grants623afb96b34a6bd48ae4bd3d,19, 0.26677507
Grants623afb98b34a6bd48ae4bd3e,0, 0.7643692
Grants623afb98b34a6bd48ae4bd3e,6, 0.11313528
Grants623afb98b34a6bd48ae4bd3e,19, 0.091641225
Grants623afb9bb34a6bd48ae4bd3f,11, 0.0942954
Grants623afb9bb34a6bd48ae4bd3f,13, 0.19926773
Grants623afb9bb34a6bd48ae4bd3f,15, 0.31238258
Grants623afb9bb34a6bd48ae4bd3f,19, 0.35685974
Grants623afb9db34a6bd48ae4bd40,6, 0.25910354
Grants623afb9db34a6bd48ae4bd40,11, 0.09254909
Grants623afb9db34a6bd48ae4bd40,17, 0.17571191
Grants623afb9db34a6bd48ae4bd40,19, 0.4354328
Grants623afb9fb34a6bd48ae4bd41,2, 0.34948432
Grants623afb9fb34a6bd48ae4bd41,10, 0.2265598
Grants623afb9fb34a6bd48ae4bd41,19, 0.39310715
Grants623afba2b34a6bd48ae4bd42,2, 0.100534186
Grants623afba2b34a6bd48ae4bd42,6, 0.21105818
Grants623afba2b34a6bd48ae4bd42,9, 0.14397869
Grants623afba2b34a6bd48ae4bd42,11, 0.15243101
Grants623afba2b34a6bd48ae4bd42,16, 0.101075225
Grants623afba2b34a6bd48ae4bd42,19, 0.26493427
Grants623afba4b34a6bd48ae4bd43,6, 0.22310573
Grants623afba4b34a6bd48ae4bd43,11, 0.32894385
Grants623afba4b34a6bd48ae4bd43,19, 0.411962
Grants623afba6b34a6bd48ae4bd44,7, 0.30257192
Grants623afba6b34a6bd48ae4bd44,9, 0.122020885
Grants623afba6b34a6bd48ae4bd44,11, 0.22439873
Grants623afba6b34a6bd48ae4bd44,19, 0.3169089
Grants623afba9b34a6bd48ae4bd45,11, 0.10551682
Grants623afba9b34a6bd48ae4bd45,19, 0.41748998
Grants623afba9b34a6bd48ae4bd45,21, 0.43768212
Grants623afbabb34a6bd48ae4bd46,6, 0.42708772
Grants623afbabb34a6bd48ae4bd46,11, 0.17000234
Grants623afbabb34a6bd48ae4bd46,19, 0.36530006
Grants623afbaeb34a6bd48ae4bd47,11, 0.111607015
Grants623afbaeb34a6bd48ae4bd47,14, 0.35461575
Grants623afbaeb34a6bd48ae4bd47,19, 0.5017878
Grants623afbb0b34a6bd48ae4bd48,6, 0.16861868
Grants623afbb0b34a6bd48ae4bd48,9, 0.19187063
Grants623afbb0b34a6bd48ae4bd48,11, 0.07972406
Grants623afbb0b34a6bd48ae4bd48,19, 0.5294769
Grants623afbb2b34a6bd48ae4bd49,0, 0.6009129
Grants623afbb2b34a6bd48ae4bd49,9, 0.16599762
Grants623afbb2b34a6bd48ae4bd49,18, 0.106385894
Grants623afbb2b34a6bd48ae4bd49,19, 0.07214431
Grants623afbb5b34a6bd48ae4bd4a,4, 0.30145732
Grants623afbb5b34a6bd48ae4bd4a,9, 0.1518776
Grants623afbb5b34a6bd48ae4bd4a,10, 0.16751431
Grants623afbb5b34a6bd48ae4bd4a,11, 0.12136591
Grants623afbb5b34a6bd48ae4bd4a,19, 0.22804765
Grants623afbb7b34a6bd48ae4bd4b,2, 0.23634547
Grants623afbb7b34a6bd48ae4bd4b,11, 0.38196906
Grants623afbb7b34a6bd48ae4bd4b,19, 0.34242013
Grants623afbbab34a6bd48ae4bd4c,2, 0.28359738
Grants623afbbab34a6bd48ae4bd4c,6, 0.26703385
Grants623afbbab34a6bd48ae4bd4c,11, 0.12676647
Grants623afbbab34a6bd48ae4bd4c,19, 0.29229504
Grants623afbbcb34a6bd48ae4bd4d,6, 0.44169843
Grants623afbbcb34a6bd48ae4bd4d,11, 0.079107784
Grants623afbbcb34a6bd48ae4bd4d,14, 0.107348524
Grants623afbbcb34a6bd48ae4bd4d,19, 0.3403644
Grants623afbbfb34a6bd48ae4bd4e,7, 0.11383464
Grants623afbbfb34a6bd48ae4bd4e,11, 0.088963695
Grants623afbbfb34a6bd48ae4bd4e,12, 0.22598742
Grants623afbbfb34a6bd48ae4bd4e,14, 0.28170708
Grants623afbbfb34a6bd48ae4bd4e,19, 0.25859278
Grants623afbc1b34a6bd48ae4bd4f,12, 0.6930404
Grants623afbc1b34a6bd48ae4bd4f,19, 0.2719876
Grants623afbc3b34a6bd48ae4bd50,11, 0.10813322
Grants623afbc3b34a6bd48ae4bd50,14, 0.6377038
Grants623afbc3b34a6bd48ae4bd50,19, 0.22437708
Grants623afbc7b34a6bd48ae4bd51,5, 0.18075132
Grants623afbc7b34a6bd48ae4bd51,7, 0.282282
Grants623afbc7b34a6bd48ae4bd51,9, 0.17202576
Grants623afbc7b34a6bd48ae4bd51,17, 0.20749132
