id,type,action_date,go_id
Reg_t@t.com,2,2022-04-29 11:02:58,GO4526
Reg_t@t.com,4,2022-04-29 11:02:59,GO4526
Reg_t@t.com,2,2022-04-29 11:03:31,GO4869
Reg_t@t.com,4,2022-04-29 11:03:41,GO4869
Reg_test@2.com,2,2022-04-29 10:56:48,GO4513
Reg_test@2.com,4,2022-04-29 10:56:49,GO4513
Reg_test@2.com,3,2022-04-29 11:02:27,GO4513
Reg_test@2.com,4,2022-04-29 11:04:31,GO4526
Reg_test@2.com,1,2022-04-29 11:04:32,GO4526
Reg_test@anu.com,0,2022-04-29 08:55:14,GO5563
Reg_test@anu.com,0,2022-04-29 08:55:14,GO5562
Reg_test@anu.com,0,2022-04-29 08:55:14,GO5443
Reg_test@anu.com,0,2022-04-29 08:55:14,GO5602
Reg_test@anu.com,0,2022-04-29 08:55:14,GO5181
Reg_test@anu.com,0,2022-04-29 08:55:14,GO4778
Reg_test@anu.com,0,2022-04-29 08:55:14,GO4491
Reg_test@anu.com,0,2022-04-29 08:55:14,GO3877
Reg_test@anu.com,0,2022-04-29 08:55:14,GO4877
Reg_test@anu.com,0,2022-04-29 08:55:14,GO3880
Reg_test@anu.com,0,2022-04-29 08:55:14,GO5216
Reg_test@anu.com,0,2022-04-29 08:55:14,GO5254
Reg_test@anu.com,0,2022-04-29 08:55:14,GO4863
Reg_test@anu.com,0,2022-04-29 08:55:14,GO4749
Reg_test@anu.com,0,2022-04-29 08:55:14,GO4215
Reg_test@anu.com,2,2022-04-29 08:55:22,GO3880
Reg_test@anu.com,3,2022-04-29 08:55:23,GO3880
Reg_test@anu.com,1,2022-04-29 08:55:24,GO3880
Reg_test@anu.com,2,2022-04-29 08:55:50,GO4344
Reg_test@anu.com,5,2022-04-29 08:56:14,GO3209
Reg_test@anu.com,4,2022-04-29 08:56:15,GO4508
Reg_tester@anu.com,0,2022-04-29 08:59:56,GO5578
Reg_tester@anu.com,0,2022-04-29 08:59:56,GO5528
Reg_tester@anu.com,0,2022-04-29 08:59:56,GO4836
Reg_tester@anu.com,0,2022-04-29 08:59:56,GO4733
Reg_tester@anu.com,0,2022-04-29 08:59:56,GO5527
Reg_tester@anu.com,0,2022-04-29 08:59:56,GO5378
Reg_tester@anu.com,0,2022-04-29 08:59:56,GO4630
Reg_tester@anu.com,0,2022-04-29 08:59:56,GO5502
Reg_tester@anu.com,0,2022-04-29 08:59:56,GO5084
Reg_tester@anu.com,0,2022-04-29 09:00:06,GO5563
Reg_tester@anu.com,0,2022-04-29 09:00:06,GO5562
Reg_tester@anu.com,0,2022-04-29 09:00:06,GO5443
Reg_tester@anu.com,0,2022-04-29 09:00:06,GO5602
Reg_tester@anu.com,0,2022-04-29 09:00:06,GO5181
Reg_tester@anu.com,0,2022-04-29 09:00:06,GO4778
Reg_tester@anu.com,0,2022-04-29 09:00:06,GO4491
Reg_tester@anu.com,0,2022-04-29 09:00:06,GO3877
Reg_tester@anu.com,0,2022-04-29 09:00:06,GO4877
Reg_tester@anu.com,0,2022-04-29 09:00:06,GO3880
Reg_tester@anu.com,0,2022-04-29 09:00:06,GO5216
Reg_tester@anu.com,0,2022-04-29 09:00:06,GO5254
Reg_tester@anu.com,0,2022-04-29 09:00:06,GO4863
Reg_tester@anu.com,0,2022-04-29 09:00:06,GO4749
Reg_tester@anu.com,0,2022-04-29 09:00:06,GO4215
Reg_tester@anu.com,2,2022-04-29 09:00:20,GO4215
Reg_tester@anu.com,2,2022-04-29 09:00:25,GO4749
Reg_tester@anu.com,5,2022-04-29 09:01:39,GO3209
