id,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,key_12,key_13,key_14,key_15
Grants623afb69b34a6bd48ae4bd2c,china,agricultural,phytosanitary,ecommerce,treaty,sustainable,trade,commodity,agriculture,travel,relationship,innovation,exchange,trading,sanitary,product
Grants623afb6bb34a6bd48ae4bd2d,council,asia,asian,culture,malaysia,relation,innovation,entrepreneurship,country,leadership,economic,technology,cambodia,indonesia,philippine,myanmar
Grants623afb6eb34a6bd48ae4bd2e,exporter,export,certification,commitment,registration,initiative,market,election,fee,dairy,product,egg,plant,horticulture,fish,balance
Grants623afb71b34a6bd48ae4bd2f,america,council,latin,relation,tourism,sport,economic,culture,sustainability,education,investment,relationship,trade,diplomacy,art,link
Grants623afb73b34a6bd48ae4bd30,advocacy,care,application,doh,provider,family,old,health,territory,confidential,representative,jurisdiction,entire,single,free,
Grants623afb75b34a6bd48ae4bd31,korea,diplomacy,regional,global,bilateral,geopolitics,application,study,technological,innovation,korean,cultural,diversity,balance,public,relationship
Grants623afb78b34a6bd48ae4bd32,arab,council,relation,social,appreciation,culture,diaspora,fashion,economic,relationship,investment,trade,sport,innovative,institutional,region
Grants623afb7bb34a6bd48ae4bd33,japan,diplomacy,trade,foundation,economic,theme,innovation,geopolitics,facilitating,diversity,foreign,communication,advocacy,audience,education,partner
Grants623afb7eb34a6bd48ae4bd34,diplomacy,audience,cultural,artistic,exchange,market,promote,art,partnership,economic,agent,social,production,influence,stakeholder,network
Grants623afb80b34a6bd48ae4bd35,woman,alliance,voice,maintenance,diversity,formation,policy,,,,,,,,,
Grants623afb82b34a6bd48ae4bd36,alcohol,fetal,telephone,online,disorder,spectrum,pregnancy,family,carers,harm,,,,,,
Grants623afb85b34a6bd48ae4bd37,china,diplomacy,cultural,council,art,culture,education,innovation,mobility,study,partnership,economic,promote,growth,solution,diversity
Grants623afb88b34a6bd48ae4bd38,indonesia,culture,innovation,education,technology,society,religion,image,institutional,art,seed,country,innovative,initiative,link,civil
Grants623afb8bb34a6bd48ae4bd39,diagnostic,model,care,pregnancy,alcohol,incidence,woman,education,referral,data,reduction,deliver,consistent,country,birth,
Grants623afb8eb34a6bd48ae4bd3a,council,india,diplomacy,partnership,relevance,trade,relation,growth,exchange,country,bilateral,economic,credential,policy,influential,investment
Grants623afb91b34a6bd48ae4bd3b,workforce,health,rural,maldistribution,regional,shortage,remote,,,,,,,,,
Grants623afb94b34a6bd48ae4bd3c,health,nursing,medicine,rural,remote,workforce,bursary,entity,stakeholder,administrator,consultation,allied,,,,
Grants623afb96b34a6bd48ae4bd3d,rural,doctor,intern,rotation,care,network,territory,junior,pathway,geography,statistical,standard,remoteness,innovative,accredited,health
Grants623afb98b34a6bd48ae4bd3e,partner,disability,transition,insurance,childhood,voluntary,benefit,partnership,local,developmental,scheme,intervention,membership,coordination,phasing,relationship
Grants623afb9bb34a6bd48ae4bd3f,leadership,agricultural,agriculture,grass,mentoring,water,financial,root,stakeholder,submission,application,rural,body,representative,receive,noon
Grants623afb9db34a6bd48ae4bd40,northern,tropical,problem,agriculture,animal,model,plant,improvement,sustainability,tangible,staff,medicine,health,product,care,salary
Grants623afb9fb34a6bd48ae4bd41,blood,cord,donor,transplantation,supply,network,patient,haemopoietic,cell,cost,storage,transplant,progenitor,therapy,worldwide,pool
Grants623afba2b34a6bd48ae4bd42,elderly,suicide,anxiety,depression,intervention,model,condition,existing,management,detection,care,,,,,
Grants623afba4b34a6bd48ae4bd43,legal,innovative,application,innovation,territory,,,,,,,,,,,
Grants623afba6b34a6bd48ae4bd44,consumer,communication,telecommunication,representation,environmental,technological,economic,portfolio,digital,relation,social,art,innovative,policy,budget,implication
Grants623afba9b34a6bd48ae4bd45,city,suburbs,technology,urban,sustainability,application,local,incubation,innovative,organisational,partnership,registration,building,solution,productivity,suburb
Grants623afbabb34a6bd48ae4bd46,innovative,solution,policy,technology,feasibility,intellectual,pyrethroid,water,sale,product,design,market,child,reliability,safety,study
Grants623afbaeb34a6bd48ae4bd47,student,competition,sponsorship,innovation,age,science,international,mathematics,engineering,technology,conference,entrepreneur,inspiring,profile,,
Grants623afbb0b34a6bd48ae4bd48,maker,school,innovation,space,entrepreneurship,education,creativity,youth,establishment,entrepreneurial,partnership,technology,age,inquiry,gain,student
Grants623afbb2b34a6bd48ae4bd49,anzac,centenary,mental,family,health,treatment,disability,condition,stress,coalition,compensation,burden,underlying,life,defence,force
Grants623afbb5b34a6bd48ae4bd4a,trafficking,slavery,human,crime,marriage,exploitation,raise,root,resilience,prevention,profit,ability,vulnerable,forced,,
Grants623afbb7b34a6bd48ae4bd4b,marrow,registry,transplant,donor,haemopoietic,progenitor,international,cell,financial,bone,compatible,health,blood,aspect,treatment,cord
Grants623afbbab34a6bd48ae4bd4c,dementia,aboriginal,family,risk,diagnosis,indigenous,islander,intervention,assessment,care,health,carers,theme,treatment,strait,translational
Grants623afbbcb34a6bd48ae4bd4d,enterprise,collaborative,productivity,tangible,sustainability,problem,product,technology,competitiveness,foster,strength,partnership,researcher,entity,,
Grants623afbbfb34a6bd48ae4bd4e,education,international,innovation,partnership,student,overseas,growth,sustainable,partner,policy,mobility,provider,stakeholder,marketing,ability,branding
Grants623afbc1b34a6bd48ae4bd4f,party,democratic,political,sustainable,democracy,accountable,integrity,responsive,transparent,country,representative,international,partner,,,
Grants623afbc3b34a6bd48ae4bd50,model,client,direct,cos,disability,budget,bank,arrangement,application,cash,broad,independence,health,selection,criterion,account
Grants623afbc7b34a6bd48ae4bd51,care,flexible,islander,aboriginal,torres,strait,home,expansion,cost,residential,guideline,exclusive,viable,demonstrated,mainstream,old
Grants623afbc9b34a6bd48ae4bd52,indigenous,law,commitment,justice,islander,aboriginal,strait,passion,application,,,,,,,
Grants623afbccb34a6bd48ae4bd53,regional,economic,growth,region,burnett,bay,local,infrastructure,sustainable,investment,market,economy,limit,exemption,profit,withstand
Grants623afbd0b34a6bd48ae4bd54,region,queensland,regional,tropical,growth,local,infrastructure,market,investment,economic,sustainable,economy,limit,exemption,profit,change
Grants623afbd3b34a6bd48ae4bd55,coast,regional,region,growth,local,economic,sustainable,market,infrastructure,investment,exemption,plan,limit,cent,profit,body
